# NTRMN  = 4
# NTRANS = 56
1.142887115478515625e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.144927978515625000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.146968936920166016e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149009799957275391e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.151050662994384766e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.153091526031494141e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.157173252105712891e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.159214115142822266e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.161254978179931641e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.165336799621582031e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.167377567291259766e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.169418430328369141e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.171459388732910156e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.175541114807128906e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.177581882476806641e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.179622840881347656e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.181663703918457031e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.183704566955566406e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.185745429992675781e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.187786388397216797e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.193908882141113281e+01 2.163508653640747070e+00 2.163508653640747070e+00 0.000000000000000000e+00
1.195949840545654297e+01 2.141801595687866211e+00 2.141801595687866211e+00 0.000000000000000000e+00
1.197990703582763672e+01 2.123165845870971680e+00 2.123165845870971680e+00 0.000000000000000000e+00
1.200031566619873047e+01 2.112572908401489258e+00 2.112572908401489258e+00 0.000000000000000000e+00
1.202072334289550781e+01 2.107990503311157227e+00 2.107990503311157227e+00 0.000000000000000000e+00
1.204113292694091797e+01 2.111376047134399414e+00 2.111376047134399414e+00 0.000000000000000000e+00
1.206154155731201172e+01 2.121696710586547852e+00 2.121696710586547852e+00 0.000000000000000000e+00
1.208195018768310547e+01 2.138917446136474609e+00 2.138917446136474609e+00 0.000000000000000000e+00
1.210235881805419922e+01 2.159047126770019531e+00 2.159047126770019531e+00 0.000000000000000000e+00
1.212276744842529297e+01 2.181083679199218750e+00 2.181083679199218750e+00 0.000000000000000000e+00
1.214317607879638672e+01 2.206003427505493164e+00 2.206003427505493164e+00 0.000000000000000000e+00
1.216358470916748047e+01 2.233791828155517578e+00 2.233791828155517578e+00 0.000000000000000000e+00
1.218399333953857422e+01 2.265416383743286133e+00 2.265416383743286133e+00 0.000000000000000000e+00
1.220440292358398438e+01 2.302819967269897461e+00 2.302819967269897461e+00 0.000000000000000000e+00
1.222481155395507812e+01 2.346952438354492188e+00 2.346952438354492188e+00 0.000000000000000000e+00
1.224521923065185547e+01 2.395825147628784180e+00 2.395825147628784180e+00 0.000000000000000000e+00
1.226562786102294922e+01 2.451366424560546875e+00 2.451366424560546875e+00 0.000000000000000000e+00
1.228603744506835938e+01 2.511594295501708984e+00 2.511594295501708984e+00 0.000000000000000000e+00
1.230644607543945312e+01 2.578430891036987305e+00 2.578430891036987305e+00 0.000000000000000000e+00
1.232685470581054688e+01 2.650872230529785156e+00 2.650872230529785156e+00 0.000000000000000000e+00
1.234726333618164062e+01 2.727921009063720703e+00 2.727921009063720703e+00 0.000000000000000000e+00
1.236767196655273438e+01 2.810522556304931641e+00 2.810522556304931641e+00 0.000000000000000000e+00
1.238808059692382812e+01 2.895750284194946289e+00 2.895750284194946289e+00 0.000000000000000000e+00
1.240848922729492188e+01 2.982627391815185547e+00 2.982627391815185547e+00 0.000000000000000000e+00
1.242889785766601562e+01 3.070181608200073242e+00 3.070181608200073242e+00 0.000000000000000000e+00
1.244930744171142578e+01 3.157449007034301758e+00 3.157449007034301758e+00 0.000000000000000000e+00
1.246971511840820312e+01 3.244431018829345703e+00 3.244431018829345703e+00 0.000000000000000000e+00
1.249012374877929688e+01 3.332087278366088867e+00 3.332087278366088867e+00 0.000000000000000000e+00
1.251053237915039062e+01 3.419456958770751953e+00 3.419456958770751953e+00 0.000000000000000000e+00
1.253094196319580078e+01 3.508452653884887695e+00 3.508452653884887695e+00 0.000000000000000000e+00
1.255135059356689453e+01 3.596205234527587891e+00 3.596205234527587891e+00 0.000000000000000000e+00
1.257175922393798828e+01 3.683673143386840820e+00 3.683673143386840820e+00 0.000000000000000000e+00
1.259216690063476562e+01 3.768005609512329102e+00 3.768005609512329102e+00 0.000000000000000000e+00
1.261257648468017578e+01 3.849218368530273438e+00 3.849218368530273438e+00 0.000000000000000000e+00
1.263298511505126953e+01 3.926378488540649414e+00 3.926378488540649414e+00 0.000000000000000000e+00
1.265339374542236328e+01 3.998560190200805664e+00 3.998560190200805664e+00 0.000000000000000000e+00
1.267380237579345703e+01 4.069564819335937500e+00 4.069564819335937500e+00 0.000000000000000000e+00
1.269421100616455078e+01 4.148827552795410156e+00 4.148827552795410156e+00 0.000000000000000000e+00
1.271461963653564453e+01 4.301265239715576172e+00 4.301265239715576172e+00 0.000000000000000000e+00
1.273502826690673828e+01 4.238918304443359375e+00 4.238918304443359375e+00 0.000000000000000000e+00
1.275543689727783203e+01 4.232135772705078125e+00 4.232135772705078125e+00 0.000000000000000000e+00
1.277584648132324219e+01 4.561718940734863281e+00 4.561718940734863281e+00 0.000000000000000000e+00
1.279625511169433594e+01 4.433777332305908203e+00 4.433777332305908203e+00 0.000000000000000000e+00
1.281666278839111328e+01 5.141155719757080078e+00 5.141155719757080078e+00 0.000000000000000000e+00
1.283707141876220703e+01 5.159090042114257812e+00 5.159090042114257812e+00 0.000000000000000000e+00
1.285748100280761719e+01 5.239340305328369141e+00 5.239340305328369141e+00 0.000000000000000000e+00
1.287788963317871094e+01 5.587022781372070312e+00 5.587022781372070312e+00 0.000000000000000000e+00
1.289829826354980469e+01 5.436199188232421875e+00 5.436199188232421875e+00 0.000000000000000000e+00
1.295952415466308594e+01 4.243665695190429688e+00 4.235682487487792969e+00 7.983319461345672607e-03
1.297993278503417969e+01 4.907402992248535156e+00 4.899432182312011719e+00 7.970767095685005188e-03
1.300034141540527344e+01 5.952993869781494141e+00 5.945035457611083984e+00 7.958253845572471619e-03
1.302075004577636719e+01 6.522909164428710938e+00 6.519452095031738281e+00 3.456944599747657776e-03
1.304115962982177734e+01 5.007741928100585938e+00 5.004008769989013672e+00 3.733338555321097374e-03
1.312279415130615234e+01 5.012057781219482422e+00 4.971967220306396484e+00 4.009022936224937439e-02
1.314320278167724609e+01 4.634377002716064453e+00 4.589947700500488281e+00 4.442901536822319031e-02
1.320442867279052734e+01 4.824822425842285156e+00 4.569571495056152344e+00 2.552515268325805664e-01
1.322483730316162109e+01 4.815446376800537109e+00 4.562519550323486328e+00 2.529267668724060059e-01
1.324524593353271484e+01 4.832905769348144531e+00 4.556393146514892578e+00 2.765128314495086670e-01
1.326565456390380859e+01 4.872772693634033203e+00 4.601716518402099609e+00 2.710560262203216553e-01
1.336769866943359375e+01 6.287889957427978516e+00 4.898786067962646484e+00 1.389103531837463379e+00
1.338810729980468750e+01 6.621350765228271484e+00 5.161320209503173828e+00 1.460030078887939453e+00
1.340851497650146484e+01 6.889563560485839844e+00 5.332893848419189453e+00 1.556670188903808594e+00
1.342892456054687500e+01 7.097482681274414062e+00 5.483445167541503906e+00 1.614037156105041504e+00
1.344933319091796875e+01 7.320875644683837891e+00 5.659348964691162109e+00 1.661526441574096680e+00
1.346974182128906250e+01 7.519678115844726562e+00 5.829388141632080078e+00 1.690289735794067383e+00
1.349015045166015625e+01 6.985042572021484375e+00 5.305945396423339844e+00 1.679096698760986328e+00
1.351055908203125000e+01 6.881224632263183594e+00 5.246546268463134766e+00 1.634678483009338379e+00
1.353096771240234375e+01 7.038806438446044922e+00 5.438553333282470703e+00 1.600253582000732422e+00
1.355137634277343750e+01 7.005538940429687500e+00 5.431246280670166016e+00 1.574292659759521484e+00
1.361260223388671875e+01 9.059311866760253906e+00 5.860537052154541016e+00 3.198774814605712891e+00
1.363301086425781250e+01 9.530678749084472656e+00 6.069503784179687500e+00 3.461174488067626953e+00
1.365341949462890625e+01 1.037193298339843750e+01 6.185795307159423828e+00 4.186138153076171875e+00
1.367382907867431641e+01 1.045190620422363281e+01 6.247467041015625000e+00 4.204439163208007812e+00
1.369423770904541016e+01 1.054521369934082031e+01 6.294970035552978516e+00 4.250244140625000000e+00
1.371464633941650391e+01 1.024710464477539062e+01 6.342331409454345703e+00 3.904773235321044922e+00
1.373505496978759766e+01 1.014616394042968750e+01 6.397395610809326172e+00 3.748767852783203125e+00
1.375546360015869141e+01 1.023088264465332031e+01 6.460998058319091797e+00 3.769885063171386719e+00
1.377587318420410156e+01 1.031673431396484375e+01 6.473148822784423828e+00 3.843585729598999023e+00
1.383709812164306641e+01 1.026375484466552734e+01 6.368383884429931641e+00 3.895371437072753906e+00
1.387791538238525391e+01 1.128328704833984375e+01 6.309978485107421875e+00 4.973308086395263672e+00
1.397995948791503906e+01 1.118138217926025391e+01 6.263063430786132812e+00 4.918318748474121094e+00
1.402077770233154297e+01 1.287492847442626953e+01 7.212074756622314453e+00 5.662852764129638672e+00
1.404118442535400391e+01 1.277231025695800781e+01 7.204150199890136719e+00 5.568158626556396484e+00
1.410241127014160156e+01 1.275325393676757812e+01 7.048105239868164062e+00 5.705148696899414062e+00
1.414322853088378906e+01 1.258156776428222656e+01 6.981216430664062500e+00 5.600354194641113281e+00
1.416363716125488281e+01 1.234313011169433594e+01 7.145246505737304688e+00 5.197885513305664062e+00
1.426568031311035156e+01 1.366536617279052734e+01 7.271174907684326172e+00 6.394192695617675781e+00
1.430649757385253906e+01 1.363251590728759766e+01 7.369234561920166016e+00 6.263282775878906250e+00
1.432690715789794922e+01 1.370543479919433594e+01 7.416383743286132812e+00 6.289048671722412109e+00
1.434731578826904297e+01 1.401020336151123047e+01 7.503443717956542969e+00 6.506760120391845703e+00
